BLE1,BLE2,BLE3,BLE4,PosX,PosY
-82,-68,-84,-77,0.071584,0.124901
-82,-65,-84,-76,0.00147,0.474506
-82,-61,-84,-76,0.047313,0.407728
-82,-61,-84,-76,0.047313,0.407728
-82,-63,-84,-77,0.029339,0.022109
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-76,0.071584,0.580921
-82,-64,-84,-76,0.016926,0.451992
-82,-62,-84,-77,0.039307,0.03663
-82,-67,-84,-77,0.041742,0.081432
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-76,0.071584,0.580921
-82,-66,-84,-76,0.017777,0.502542
-82,-62,-84,-76,0.039307,0.419389
-82,-63,-84,-76,0.029339,0.43391
-82,-63,-84,-76,0.029339,0.43391
-82,-66,-84,-76,0.017777,0.502542
-82,-68,-84,-76,0.071584,0.580921
-82,-68,-84,-76,0.071584,0.580921
-82,-67,-84,-76,0.041742,0.537451
-82,-62,-84,-77,0.039307,0.03663
-82,-65,-84,-76,0.00147,0.474506
-82,-64,-84,-76,0.016926,0.451992
-82,-63,-84,-76,0.029339,0.43391
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-77,0.071584,0.124901
-82,-66,-84,-77,0.017777,0.046523
-82,-68,-84,-77,0.071584,0.124901
-82,-68,-84,-76,0.071584,0.580921
-82,-63,-84,-77,0.029339,0.022109
-82,-67,-84,-77,0.041742,0.081432
-82,-62,-84,-77,0.039307,0.03663
-82,-67,-84,-76,0.041742,0.537451
-82,-64,-84,-77,0.016926,0.004028
-82,-64,-84,-77,0.016926,0.004028
-82,-64,-84,-76,0.016926,0.451992
-82,-65,-84,-77,0.00147,0.018487
-82,-66,-84,-77,0.017777,0.046523
-82,-67,-84,-77,0.041742,0.081432
-82,-63,-84,-77,0.029339,0.022109
-81,-68,-83,-75,0.714501,0.518531
-81,-65,-83,-76,0.641448,0.045895
-81,-61,-83,-76,0.595605,0.020884
-80,-61,-83,-76,1.111923,0.365096
-80,-63,-83,-75,1.129897,0.027309
-80,-66,-83,-74,1.177012,0.390048
-81,-68,-83,-75,0.714501,0.518531
-80,-64,-83,-74,1.14231,0.339498
-80,-62,-83,-74,1.119929,0.306896
-81,-67,-83,-76,0.68466,0.108839
-80,-66,-83,-76,1.177012,0.270282
-81,-68,-83,-75,0.714501,0.518531
-80,-66,-83,-76,1.177012,0.270282
-81,-62,-83,-74,0.60361,0.651108
-81,-63,-83,-74,0.613579,0.665629
-81,-63,-83,-75,0.613579,0.371521
-81,-66,-83,-75,0.660694,0.440152
-81,-68,-83,-74,0.714501,0.812639
-80,-68,-83,-76,1.230819,0.191903
-81,-67,-83,-76,0.68466,0.108839
-81,-62,-83,-76,0.60361,0.009222
-81,-65,-83,-76,0.641448,0.045895
-81,-64,-83,-76,0.625992,0.02338
-80,-63,-83,-76,1.129897,0.338914
-81,-66,-83,-76,0.660694,0.07393
-80,-68,-83,-76,1.230819,0.191903
-80,-66,-83,-76,1.177012,0.270282
-80,-68,-83,-74,1.230819,0.468427
-80,-68,-83,-74,1.230819,0.468427
-81,-63,-83,-76,0.613579,0.005298
-80,-67,-83,-77,1.200978,0.691392
-80,-62,-83,-77,1.119929,0.809454
-80,-67,-83,-74,1.200978,0.424958
-81,-64,-83,-75,0.625992,0.389602
-81,-64,-83,-75,0.625992,0.389602
-80,-64,-83,-77,1.14231,0.776851
-81,-65,-83,-77,0.641448,0.410125
-80,-66,-83,-74,1.177012,0.390048
-81,-67,-83,-76,0.68466,0.108839
-81,-63,-83,-75,0.613579,0.371521
-79,-69,-82,-72,1.682626,0.672001
-81,-68,-82,-70,0.714501,1.513186
-81,-69,-82,-72,0.75166,1.292645
-81,-69,-82,-72,0.75166,1.292645
-80,-65,-82,-71,1.157766,0.940224
-80,-69,-82,-70,1.267978,1.223102
-80,-66,-82,-71,1.177012,0.968259
-81,-68,-82,-74,0.714501,0.812639
-79,-64,-82,-72,1.556958,0.488944
-80,-67,-82,-71,1.200978,1.003168
-79,-69,-82,-69,1.682626,1.044916
-79,-69,-82,-69,1.682626,1.044916
-79,-66,-82,-71,1.59166,0.691827
-80,-68,-82,-72,1.230819,0.894305
-81,-66,-82,-74,0.660694,0.73426
-80,-64,-82,-70,1.14231,1.040045
-81,-68,-82,-73,0.714501,1.048833
-80,-68,-82,-73,1.230819,0.704621
-81,-67,-82,-72,0.68466,1.195048
-81,-68,-82,-73,0.714501,1.048833
-79,-65,-82,-74,1.572414,0.085581
-79,-64,-82,-71,1.556958,0.641277
-81,-66,-82,-72,0.660694,1.160138
-81,-68,-82,-71,0.714501,1.39085
-81,-66,-82,-74,0.660694,0.73426
-80,-68,-82,-74,1.230819,0.468427
-81,-68,-82,-74,0.714501,0.812639
-81,-66,-82,-74,0.660694,0.73426
-81,-67,-82,-72,0.68466,1.195048
-79,-69,-82,-73,1.682626,0.482317
-81,-67,-82,-74,0.68466,0.76917
-79,-64,-82,-72,1.556958,0.488944
-80,-64,-82,-72,1.14231,0.765376
-81,-64,-82,-73,0.625992,0.919904
-80,-65,-82,-74,1.157766,0.362013
-79,-66,-82,-73,1.59166,0.349811
-79,-67,-82,-73,1.615626,0.38472
-80,-68,-82,-74,1.230819,0.468427
-80,-68,-82,-74,1.230819,0.468427
-80,-65,-82,-72,1.157766,0.787891
-79,-73,-82,-75,1.947586,0.337974
-78,-71,-83,-76,2.119508,0.48488
-78,-71,-83,-76,2.119508,0.48488
-79,-69,-82,-76,1.682626,0.414207
-79,-70,-82,-75,1.728896,0.019415
-79,-71,-83,-74,1.786511,0.397449
-79,-71,-83,-75,1.786511,0.103341
-79,-70,-82,-74,1.728896,0.313523
-79,-73,-83,-74,1.947586,0.632082
-78,-71,-82,-76,2.119508,0.48488
-78,-71,-82,-76,2.119508,0.48488
-79,-73,-82,-75,1.947586,0.337974
-78,-69,-82,-76,2.015623,0.636206
-78,-73,-82,-74,2.280584,0.410084
-79,-73,-83,-74,1.947586,0.632082
-79,-72,-82,-75,1.858253,0.207845
-79,-69,-83,-75,1.682626,0.047985
-79,-70,-82,-74,1.728896,0.313523
-79,-71,-82,-76,1.786511,0.262882
-78,-69,-82,-76,2.015623,0.636206
-78,-71,-82,-76,2.119508,0.48488
-78,-73,-82,-76,2.280584,0.250247
-79,-72,-82,-76,1.858253,0.158377
-79,-71,-82,-76,1.786511,0.262882
-79,-71,-82,-76,1.786511,0.262882
-79,-71,-82,-76,1.786511,0.262882
-79,-73,-83,-76,1.947586,0.028249
-79,-72,-82,-74,1.858253,0.501953
-79,-73,-82,-74,1.947586,0.632082
-79,-73,-82,-76,1.947586,0.028249
-79,-73,-83,-77,1.947586,0.484268
-79,-73,-83,-77,1.947586,0.484268
-79,-73,-83,-74,1.947586,0.632082
-79,-73,-82,-75,1.947586,0.337974
-79,-72,-82,-75,1.858253,0.207845
-78,-73,-82,-77,2.280584,0.706266
-79,-70,-83,-77,1.728896,0.802827
-78,-70,-82,-74,2.061893,0.091525
-78,-71,-82,-76,2.119508,0.48488
-78,-73,-82,-75,2.280584,0.115976
-79,-73,-81,-69,1.947586,1.430875
-78,-71,-81,-69,2.119508,0.974244
-78,-71,-81,-72,2.119508,0.601329
-79,-70,-81,-70,1.728896,1.01407
-79,-71,-81,-72,1.786511,0.823327
-79,-71,-81,-72,1.786511,0.823327
-79,-70,-81,-71,1.728896,0.891734
-79,-73,-81,-69,1.947586,1.430875
-79,-71,-81,-70,1.786511,1.097996
-78,-71,-81,-71,2.119508,0.753661
-78,-73,-81,-69,2.280584,1.208877
-79,-73,-81,-72,1.947586,1.05796
-78,-73,-81,-69,2.280584,1.208877
-78,-72,-81,-69,2.191251,1.078748
-79,-70,-81,-71,1.728896,0.891734
-79,-71,-81,-69,1.786511,1.196242
-79,-71,-81,-69,1.786511,1.196242
-79,-73,-81,-71,1.947586,1.210293
-79,-72,-81,-72,1.858253,0.927831
-78,-71,-81,-70,2.119508,0.875997
-78,-71,-81,-73,2.119508,0.411645
-78,-73,-81,-73,2.280584,0.646278
-79,-72,-81,-72,1.858253,0.927831
-79,-73,-81,-73,1.947586,0.868276
-79,-73,-81,-71,1.947586,1.210293
-79,-73,-81,-72,1.947586,1.05796
-79,-73,-81,-71,1.947586,1.210293
-79,-73,-81,-72,1.947586,1.05796
-79,-73,-81,-73,1.947586,0.868276
-79,-72,-81,-72,1.858253,0.927831
-79,-73,-81,-72,1.947586,1.05796
-79,-70,-81,-73,1.728896,0.549717
-79,-70,-81,-73,1.728896,0.549717
-79,-71,-81,-73,1.786511,0.633643
-79,-73,-81,-72,1.947586,1.05796
-78,-73,-81,-73,2.280584,0.646278
-79,-72,-81,-72,1.858253,0.927831
-78,-72,-81,-73,2.191251,0.516149
-78,-72,-81,-72,2.191251,0.705833
-78,-72,-81,-71,2.191251,0.858166
-80,-73,-80,-66,1.532938,1.900457
-80,-75,-80,-67,1.782688,2.213373
-80,-74,-80,-64,1.644176,2.136178
-80,-74,-80,-68,1.644176,1.948243
-80,-74,-80,-65,1.644176,2.103359
-80,-73,-80,-67,1.532938,1.849571
-80,-73,-80,-68,1.532938,1.786207
-79,-75,-80,-65,2.197336,2.028694
-79,-73,-80,-66,1.947586,1.624025
-79,-73,-80,-68,1.947586,1.509775
-79,-74,-80,-66,2.058823,1.786061
-79,-75,-80,-66,2.197336,1.987827
-79,-73,-80,-68,1.947586,1.509775
-79,-75,-80,-67,2.197336,1.936941
-79,-74,-80,-68,2.058823,1.671811
-79,-73,-80,-63,1.947586,1.724067
-79,-75,-80,-66,2.197336,1.987827
-79,-73,-80,-68,1.947586,1.509775
-79,-74,-80,-68,2.058823,1.671811
-80,-73,-80,-67,1.532938,1.849571
-80,-73,-80,-67,1.532938,1.849571
-79,-73,-80,-67,1.947586,1.573139
-79,-73,-80,-68,1.947586,1.509775
-80,-73,-80,-68,1.532938,1.786207
-80,-74,-80,-68,1.644176,1.948243
-80,-74,-80,-67,1.644176,2.011606
-79,-75,-80,-64,2.197336,2.061513
-80,-75,-80,-64,1.782688,2.337944
-79,-74,-80,-64,2.058823,1.859746
-79,-73,-80,-64,1.947586,1.697711
-79,-74,-80,-64,2.058823,1.859746
-79,-74,-80,-66,2.058823,1.786061
-79,-74,-80,-68,2.058823,1.671811
-79,-74,-80,-66,2.058823,1.786061
-79,-74,-80,-66,2.058823,1.786061
-79,-75,-80,-64,2.197336,2.061513
-79,-75,-80,-65,2.197336,2.028694
-79,-74,-80,-65,2.058823,1.826927
-79,-74,-80,-66,2.058823,1.786061
-79,-74,-80,-66,2.058823,1.786061
-77,-74,-81,-75,2.659247,0.099728
-75,-74,-82,-76,3.046488,0.524656
-75,-74,-81,-76,3.046488,0.524656
-75,-75,-81,-76,3.185,0.322889
-76,-75,-82,-75,3.012525,0.158317
-75,-75,-82,-74,3.185,0.337441
-75,-74,-81,-75,3.046488,0.158433
-76,-75,-82,-74,3.012525,0.452425
-76,-75,-81,-74,3.012525,0.452425
-76,-74,-82,-76,2.874012,0.409672
-76,-75,-82,-76,3.012525,0.207906
-77,-74,-81,-75,2.659247,0.099728
-75,-75,-81,-76,3.185,0.322889
-76,-76,-82,-74,3.185,0.703664
-76,-76,-82,-74,3.185,0.703664
-75,-76,-82,-75,3.357475,0.294572
-75,-76,-81,-75,3.357475,0.294572
-76,-76,-81,-76,3.185,0.043333
-75,-76,-82,-76,3.357475,0.07165
-77,-76,-81,-76,2.970234,0.18651
-75,-76,-82,-76,3.357475,0.07165
-75,-74,-81,-76,3.046488,0.524656
-76,-74,-81,-76,2.874012,0.409672
-77,-76,-82,-76,2.970234,0.18651
-77,-76,-82,-77,2.970234,0.269509
-77,-75,-82,-76,2.797759,0.064729
-75,-75,-82,-74,3.185,0.337441
-75,-74,-81,-74,3.046488,0.135675
-75,-74,-81,-76,3.046488,0.524656
-76,-74,-82,-77,2.874012,0.865691
-76,-74,-82,-77,2.874012,0.865691
-77,-74,-81,-74,2.659247,0.393836
-77,-74,-81,-75,2.659247,0.099728
-76,-75,-82,-75,3.012525,0.158317
-77,-75,-81,-77,2.797759,0.520748
-76,-74,-81,-74,2.874012,0.250658
-76,-76,-82,-76,3.185,0.043333
-76,-76,-82,-75,3.185,0.409556
-76,-74,-82,-75,2.874012,0.04345
-76,-76,-81,-77,3.185,0.412686
-77,-74,-80,-72,2.659247,0.819714
-76,-74,-81,-70,2.874012,0.951205
-76,-74,-81,-72,2.874012,0.676536
-76,-75,-81,-72,3.012525,0.878303
-76,-75,-81,-71,3.012525,1.030635
-76,-75,-80,-70,3.012525,1.152971
-77,-74,-81,-71,2.659247,0.972046
-76,-75,-80,-74,3.012525,0.452425
-76,-75,-80,-72,3.012525,0.878303
-76,-74,-81,-71,2.874012,0.828869
-77,-75,-81,-71,2.797759,1.173813
-76,-74,-80,-72,2.874012,0.676536
-77,-75,-80,-74,2.797759,0.595602
-77,-76,-81,-70,2.970234,1.547388
-77,-76,-81,-73,2.970234,1.083035
-76,-76,-80,-74,3.185,0.703664
-76,-76,-81,-73,3.185,0.939858
-77,-76,-81,-72,2.970234,1.272719
-77,-76,-81,-74,2.970234,0.846841
-76,-76,-80,-74,3.185,0.703664
-77,-76,-81,-73,2.970234,1.083035
-76,-74,-81,-74,2.874012,0.250658
-76,-74,-81,-71,2.874012,0.828869
-76,-76,-81,-72,3.185,1.129542
-76,-76,-81,-71,3.185,1.281874
-76,-75,-80,-74,3.012525,0.452425
-77,-75,-81,-74,2.797759,0.595602
-76,-74,-80,-74,2.874012,0.250658
-76,-74,-80,-74,2.874012,0.250658
-77,-74,-80,-72,2.659247,0.819714
-77,-74,-81,-73,2.659247,0.63003
-76,-74,-80,-74,2.874012,0.250658
-76,-74,-80,-72,2.874012,0.676536
-76,-75,-80,-72,3.012525,0.878303
-77,-75,-81,-73,2.797759,0.831796
-77,-74,-81,-74,2.659247,0.393836
-77,-76,-81,-73,2.970234,1.083035
-77,-76,-81,-73,2.970234,1.083035
-77,-74,-81,-74,2.659247,0.393836
-77,-76,-80,-74,2.970234,0.846841
-77,-76,-78,-69,2.970234,1.645634
-78,-76,-78,-66,2.702809,2.017068
-78,-76,-79,-67,2.702809,1.966182
-77,-76,-79,-69,2.970234,1.645634
-77,-76,-79,-70,2.970234,1.547388
-78,-76,-78,-68,2.702809,1.902818
-77,-76,-79,-69,2.970234,1.645634
-77,-77,-79,-70,3.185,1.86023
-77,-77,-78,-69,3.185,1.958476
-78,-76,-79,-69,2.702809,1.823918
-77,-77,-79,-69,3.185,1.958476
-77,-77,-79,-69,3.185,1.958476
-78,-76,-79,-69,2.702809,1.823918
-77,-76,-78,-67,2.970234,1.787898
-78,-77,-79,-68,2.917574,2.21566
-78,-77,-79,-71,2.917574,1.916177
-78,-77,-79,-71,2.917574,1.916177
-78,-77,-79,-71,2.917574,1.916177
-78,-77,-79,-65,2.917574,2.370776
-78,-77,-79,-66,2.917574,2.32991
-77,-77,-78,-71,3.185,1.737894
-77,-76,-78,-70,2.970234,1.547388
-77,-76,-79,-69,2.970234,1.645634
-78,-77,-78,-71,2.917574,1.916177
-77,-77,-79,-68,3.185,2.037376
-77,-76,-79,-69,2.970234,1.645634
-77,-77,-78,-69,3.185,1.958476
-77,-77,-79,-69,3.185,1.958476
-78,-77,-79,-71,2.917574,1.916177
-78,-77,-79,-68,2.917574,2.21566
-78,-76,-78,-67,2.702809,1.966182
-78,-76,-79,-68,2.702809,1.902818
-78,-76,-79,-69,2.702809,1.823918
-78,-76,-78,-71,2.702809,1.603335
-77,-77,-78,-70,3.185,1.86023
-77,-77,-79,-70,3.185,1.86023
-77,-77,-78,-71,3.185,1.737894
-77,-76,-78,-70,2.970234,1.547388
-77,-77,-78,-70,3.185,1.86023
-77,-77,-79,-70,3.185,1.86023
-71,-78,-81,-77,4.250492,0.099161
-73,-77,-81,-76,3.821991,0.074692
-73,-78,-81,-76,4.089416,0.464242
-73,-78,-81,-76,4.089416,0.464242
-72,-78,-81,-77,4.178749,0.051333
-71,-78,-81,-77,4.250492,0.099161
-72,-78,-81,-76,4.178749,0.404687
-74,-78,-81,-76,3.978179,0.5384
-72,-78,-81,-77,4.178749,0.051333
-71,-77,-81,-77,3.983066,0.488711
-72,-78,-81,-77,4.178749,0.051333
-71,-77,-81,-76,3.983066,0.032692
-73,-77,-81,-76,3.821991,0.074692
-71,-78,-81,-76,4.250492,0.356858
-72,-78,-81,-76,4.178749,0.404687
-73,-77,-81,-76,3.821991,0.074692
-73,-78,-81,-76,4.089416,0.464242
-74,-78,-81,-76,3.978179,0.5384
-71,-77,-81,-76,3.983066,0.032692
-73,-77,-81,-76,3.821991,0.074692
-71,-78,-81,-77,4.250492,0.099161
-72,-77,-81,-76,3.911324,0.015137
-74,-77,-81,-76,3.710753,0.14885
-73,-78,-81,-76,4.089416,0.464242
-73,-78,-81,-77,4.089416,0.008223
-73,-78,-81,-77,4.089416,0.008223
-74,-78,-81,-77,3.978179,0.082381
-73,-78,-81,-77,4.089416,0.008223
-71,-78,-81,-76,4.250492,0.356858
-74,-78,-81,-77,3.978179,0.082381
-72,-78,-81,-77,4.178749,0.051333
-71,-78,-81,-77,4.250492,0.099161
-72,-78,-81,-76,4.178749,0.404687
-72,-78,-81,-77,4.178749,0.051333
-72,-78,-81,-77,4.178749,0.051333
-72,-78,-81,-76,4.178749,0.404687
-73,-78,-81,-77,4.089416,0.008223
-74,-77,-81,-77,3.710753,0.307169
-72,-78,-81,-77,4.178749,0.051333
-74,-78,-81,-77,3.978179,0.082381
-75,-78,-80,-75,3.839667,0.996964
-73,-77,-79,-75,3.821991,0.440914
-73,-78,-79,-74,4.089416,1.124573
-75,-78,-79,-75,3.839667,0.996964
-73,-78,-79,-74,4.089416,1.124573
-72,-79,-79,-73,4.511747,1.786278
-72,-78,-79,-74,4.178749,1.065017
-75,-78,-79,-73,3.839667,1.527266
-74,-78,-79,-75,3.978179,0.904623
-75,-78,-80,-74,3.839667,1.291072
-75,-79,-79,-74,4.172664,1.776139
-72,-78,-80,-75,4.178749,0.770909
-72,-77,-79,-75,3.911324,0.381359
-73,-77,-80,-74,3.821991,0.735023
-71,-79,-79,-74,4.583489,1.502256
-72,-78,-80,-74,4.178749,1.065017
-73,-79,-79,-74,4.422414,1.609639
-73,-78,-80,-75,4.089416,0.830464
-74,-77,-79,-75,3.710753,0.515073
-71,-78,-79,-74,4.250492,1.017189
-73,-79,-80,-75,4.422414,1.315531
-71,-79,-79,-75,4.583489,1.208147
-72,-78,-79,-75,4.178749,0.770909
-75,-79,-79,-75,4.172664,1.482031
-74,-77,-79,-75,3.710753,0.515073
-73,-77,-79,-75,3.821991,0.440914
-73,-78,-80,-73,4.089416,1.360767
-73,-79,-79,-75,4.422414,1.315531
-74,-77,-79,-74,3.710753,0.809181
-73,-77,-79,-75,3.821991,0.440914
-71,-78,-79,-75,4.250492,0.723081
-74,-78,-80,-75,3.978179,0.904623
-72,-78,-80,-75,4.178749,0.770909
-75,-78,-79,-74,3.839667,1.291072
-71,-78,-79,-75,4.250492,0.723081
-75,-78,-79,-75,3.839667,0.996964
-72,-78,-79,-74,4.178749,1.065017
-72,-78,-79,-75,4.178749,0.770909
-75,-78,-80,-74,3.839667,1.291072
-72,-78,-80,-74,4.178749,1.065017
-75,-78,-78,-72,3.875748,1.769509
-75,-78,-78,-70,3.677881,1.755952
-75,-78,-78,-72,3.875748,1.769509
-76,-78,-78,-72,3.758495,1.964932
-74,-79,-77,-71,4.08743,1.936083
-75,-78,-78,-70,3.677881,1.755952
-75,-78,-77,-71,3.993265,2.093025
-76,-78,-77,-74,4.292545,2.316988
-76,-78,-77,-72,3.985749,2.295967
-74,-79,-77,-71,4.08743,1.936083
-76,-78,-77,-71,3.876011,2.288448
-76,-79,-77,-72,3.985749,2.295967
-75,-78,-77,-70,3.905136,2.086986
-74,-79,-77,-73,4.333813,1.952965
-76,-78,-77,-74,4.292545,2.316988
-76,-78,-77,-73,4.122395,2.305329
-75,-79,-77,-72,4.103003,2.100544
-75,-79,-78,-74,4.182544,1.790531
-76,-78,-78,-74,4.06529,1.985953
-75,-79,-78,-73,4.012394,1.778872
-75,-78,-77,-74,4.409799,2.121565
-75,-79,-78,-71,3.76601,1.76199
-76,-78,-78,-72,3.758495,1.964932
-75,-79,-78,-71,3.76601,1.76199
-75,-78,-78,-74,4.182544,1.790531
-74,-78,-77,-74,4.503964,1.964624
-75,-78,-78,-74,4.182544,1.790531
-74,-78,-77,-74,4.503964,1.964624
-76,-78,-78,-72,3.758495,1.964932
-76,-78,-78,-73,3.89514,1.974295
-76,-78,-78,-74,4.06529,1.985953
-76,-78,-77,-72,3.985749,2.295967
-76,-78,-78,-72,3.758495,1.964932
-76,-78,-77,-73,4.122395,2.305329
-76,-78,-78,-74,4.06529,1.985953
-76,-78,-78,-73,3.89514,1.974295
-76,-79,-78,-73,3.89514,1.974295
-76,-79,-78,-74,4.06529,1.985953
-75,-78,-78,-74,4.182544,1.790531
-75,-79,-78,-72,3.875748,1.769509
